commodity_desc,reference_period_desc,year,state_ansi,state_name,county_ansi,county_name,asd_code,asd_desc,domain_desc,source_desc,agg_level_desc,"PRODUCTION, MEASURED IN 480 LB BALES","YIELD, MEASURED IN LB / ACRE"
COTTON,YEAR,2022,01,ALABAMA,001,AUTAUGA,40,BLACK BELT,TOTAL,SURVEY,COUNTY,15900.0,972.0
COTTON,YEAR,2022,01,ALABAMA,003,BALDWIN,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,16300.0,782.0
COTTON,YEAR,2022,01,ALABAMA,005,BARBOUR,60,WIREGRASS,TOTAL,SURVEY,COUNTY,12200.0,932.0
COTTON,YEAR,2022,01,ALABAMA,015,CALHOUN,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,10200.0,1183.0
COTTON,YEAR,2022,01,ALABAMA,019,CHEROKEE,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,59500.0,1147.0
COTTON,YEAR,2022,01,ALABAMA,031,COFFEE,60,WIREGRASS,TOTAL,SURVEY,COUNTY,25700.0,739.0
COTTON,YEAR,2022,01,ALABAMA,033,COLBERT,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,19600.0,871.0
COTTON,YEAR,2022,01,ALABAMA,039,COVINGTON,60,WIREGRASS,TOTAL,SURVEY,COUNTY,31900.0,945.0
COTTON,YEAR,2022,01,ALABAMA,045,DALE,60,WIREGRASS,TOTAL,SURVEY,COUNTY,17900.0,774.0
COTTON,YEAR,2022,01,ALABAMA,047,DALLAS,40,BLACK BELT,TOTAL,SURVEY,COUNTY,24900.0,892.0
COTTON,YEAR,2022,01,ALABAMA,049,DE KALB,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,8100.0,1219.0
COTTON,YEAR,2022,01,ALABAMA,053,ESCAMBIA,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,37000.0,888.0
COTTON,YEAR,2022,01,ALABAMA,055,ETOWAH,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,9100.0,1071.0
COTTON,YEAR,2022,01,ALABAMA,061,GENEVA,60,WIREGRASS,TOTAL,SURVEY,COUNTY,48100.0,813.0
COTTON,YEAR,2022,01,ALABAMA,067,HENRY,60,WIREGRASS,TOTAL,SURVEY,COUNTY,34200.0,813.0
COTTON,YEAR,2022,01,ALABAMA,069,HOUSTON,60,WIREGRASS,TOTAL,SURVEY,COUNTY,52500.0,754.0
COTTON,YEAR,2022,01,ALABAMA,077,LAUDERDALE,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,37300.0,1098.0
COTTON,YEAR,2022,01,ALABAMA,079,LAWRENCE,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,32700.0,1075.0
COTTON,YEAR,2022,01,ALABAMA,081,LEE,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,3600.0,965.0
COTTON,YEAR,2022,01,ALABAMA,083,LIMESTONE,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,45300.0,1093.0
COTTON,YEAR,2022,01,ALABAMA,087,MACON,40,BLACK BELT,TOTAL,SURVEY,COUNTY,9310.0,993.0
COTTON,YEAR,2022,01,ALABAMA,089,MADISON,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,66100.0,1230.0
COTTON,YEAR,2022,01,ALABAMA,097,MOBILE,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,12100.0,703.0
COTTON,YEAR,2022,01,ALABAMA,099,MONROE,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,22100.0,712.0
COTTON,YEAR,2022,01,ALABAMA,109,PIKE,60,WIREGRASS,TOTAL,SURVEY,COUNTY,9400.0,799.0
COTTON,YEAR,2022,01,ALABAMA,117,SHELBY,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,7890.0,906.0
COTTON,YEAR,2022,01,ALABAMA,121,TALLADEGA,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,18100.0,1124.0
COTTON,YEAR,2022,01,ALABAMA,125,TUSCALOOSA,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,3700.0,992.0
COTTON,YEAR,2022,04,ARIZONA,009,GRAHAM,80,SOUTHERN,TOTAL,SURVEY,COUNTY,16600.0,1481.0
COTTON,YEAR,2022,04,ARIZONA,013,MARICOPA,80,SOUTHERN,TOTAL,SURVEY,COUNTY,23400.0,1628.0
COTTON,YEAR,2022,04,ARIZONA,019,PIMA,80,SOUTHERN,TOTAL,SURVEY,COUNTY,23000.0,1434.0
COTTON,YEAR,2022,04,ARIZONA,021,PINAL,80,SOUTHERN,TOTAL,SURVEY,COUNTY,158500.0,1556.0
COTTON,YEAR,2022,04,ARIZONA,027,YUMA,80,SOUTHERN,TOTAL,SURVEY,COUNTY,28900.0,1480.0
COTTON,YEAR,2022,05,ARKANSAS,003,ASHLEY,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,45200.0,1009.0
COTTON,YEAR,2022,05,ARKANSAS,017,CHICOT,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,44700.0,1007.0
COTTON,YEAR,2022,05,ARKANSAS,021,CLAY,30,NORTHEAST,TOTAL,SURVEY,COUNTY,105300.0,1239.0
COTTON,YEAR,2022,05,ARKANSAS,031,CRAIGHEAD,30,NORTHEAST,TOTAL,SURVEY,COUNTY,211800.0,1258.0
COTTON,YEAR,2022,05,ARKANSAS,035,CRITTENDEN,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,54200.0,1167.0
COTTON,YEAR,2022,05,ARKANSAS,041,DESHA,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,100500.0,1253.0
COTTON,YEAR,2022,05,ARKANSAS,043,DREW,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,38000.0,1322.0
COTTON,YEAR,2022,05,ARKANSAS,067,JACKSON,30,NORTHEAST,TOTAL,SURVEY,COUNTY,13600.0,1020.0
