commodity_desc,reference_period_desc,year,state_ansi,state_name,county_ansi,county_name,asd_code,asd_desc,domain_desc,source_desc,agg_level_desc,"PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE"
WHEAT,YEAR,2020,05,ARKANSAS,029,CONWAY,50,CENTRAL,TOTAL,SURVEY,COUNTY,97700.0,55.2
WHEAT,YEAR,2020,05,ARKANSAS,035,CRITTENDEN,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,262000.0,59.5
WHEAT,YEAR,2020,05,ARKANSAS,041,DESHA,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,134000.0,41.7
WHEAT,YEAR,2020,05,ARKANSAS,067,JACKSON,30,NORTHEAST,TOTAL,SURVEY,COUNTY,261000.0,60.0
WHEAT,YEAR,2020,05,ARKANSAS,069,JEFFERSON,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,210000.0,55.3
WHEAT,YEAR,2020,05,ARKANSAS,095,MONROE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,62000.0,61.4
WHEAT,YEAR,2020,05,ARKANSAS,147,WOODRUFF,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,298000.0,72.7
WHEAT,YEAR,2020,06,CALIFORNIA,011,COLUSA,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,288000.0,115.2
WHEAT,YEAR,2020,06,CALIFORNIA,029,KERN,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,359000.0,112.2
WHEAT,YEAR,2020,06,CALIFORNIA,031,KINGS,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,1053000.0,90.0
WHEAT,YEAR,2020,06,CALIFORNIA,035,LASSEN,30,NORTHEAST,TOTAL,SURVEY,COUNTY,40000.0,50.0
WHEAT,YEAR,2020,06,CALIFORNIA,047,MERCED,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,761000.0,89.5
WHEAT,YEAR,2020,06,CALIFORNIA,049,MODOC,30,NORTHEAST,TOTAL,SURVEY,COUNTY,186000.0,103.3
WHEAT,YEAR,2020,06,CALIFORNIA,067,SACRAMENTO,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,156000.0,70.9
WHEAT,YEAR,2020,06,CALIFORNIA,077,SAN JOAQUIN,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,258000.0,86.0
WHEAT,YEAR,2020,06,CALIFORNIA,095,SOLANO,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,205000.0,53.2
WHEAT,YEAR,2020,06,CALIFORNIA,101,SUTTER,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,229000.0,120.5
WHEAT,YEAR,2020,06,CALIFORNIA,113,YOLO,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,719000.0,110.6
WHEAT,YEAR,2020,08,COLORADO,001,ADAMS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,3321000.0,28.9
WHEAT,YEAR,2020,08,COLORADO,005,ARAPAHOE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,595000.0,22.9
WHEAT,YEAR,2020,08,COLORADO,009,BACA,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,1426000.0,16.2
WHEAT,YEAR,2020,08,COLORADO,011,BENT,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,302000.0,52.2
WHEAT,YEAR,2020,08,COLORADO,017,CHEYENNE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,2905000.0,22.7
WHEAT,YEAR,2020,08,COLORADO,039,ELBERT,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,755000.0,32.3
WHEAT,YEAR,2020,08,COLORADO,061,KIOWA,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,3447000.0,23.8
WHEAT,YEAR,2020,08,COLORADO,063,KIT CARSON,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,5292000.0,29.6
WHEAT,YEAR,2020,08,COLORADO,073,LINCOLN,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,1648000.0,21.9
WHEAT,YEAR,2020,08,COLORADO,075,LOGAN,20,NORTHEAST,TOTAL,SURVEY,COUNTY,2079000.0,31.5
WHEAT,YEAR,2020,08,COLORADO,077,MESA,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,207000.0,121.8
WHEAT,YEAR,2020,08,COLORADO,083,MONTEZUMA,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,40900.0,11.8
WHEAT,YEAR,2020,08,COLORADO,087,MORGAN,20,NORTHEAST,TOTAL,SURVEY,COUNTY,1251000.0,32.2
WHEAT,YEAR,2020,08,COLORADO,095,PHILLIPS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,2328000.0,28.6
WHEAT,YEAR,2020,08,COLORADO,099,PROWERS,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,2903000.0,32.9
WHEAT,YEAR,2020,08,COLORADO,115,SEDGWICK,20,NORTHEAST,TOTAL,SURVEY,COUNTY,1641000.0,35.8
WHEAT,YEAR,2020,08,COLORADO,121,WASHINGTON,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,3575000.0,18.9
WHEAT,YEAR,2020,08,COLORADO,123,WELD,20,NORTHEAST,TOTAL,SURVEY,COUNTY,2219000.0,25.9
WHEAT,YEAR,2020,08,COLORADO,125,YUMA,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,4143000.0,41.0
WHEAT,YEAR,2020,16,IDAHO,001,ADA,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,559000.0,130.0
WHEAT,YEAR,2020,16,IDAHO,005,BANNOCK,90,EAST,TOTAL,SURVEY,COUNTY,1200000.0,81.6
WHEAT,YEAR,2020,16,IDAHO,009,BENEWAH,10,NORTH,TOTAL,SURVEY,COUNTY,1677000.0,94.2
WHEAT,YEAR,2020,16,IDAHO,011,BINGHAM,90,EAST,TOTAL,SURVEY,COUNTY,7707000.0,120.4
WHEAT,YEAR,2020,16,IDAHO,019,BONNEVILLE,90,EAST,TOTAL,SURVEY,COUNTY,910000.0,71.1
WHEAT,YEAR,2020,16,IDAHO,021,BOUNDARY,10,NORTH,TOTAL,SURVEY,COUNTY,848000.0,100.4
WHEAT,YEAR,2020,16,IDAHO,027,CANYON,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,2677000.0,123.9
WHEAT,YEAR,2020,16,IDAHO,029,CARIBOU,90,EAST,TOTAL,SURVEY,COUNTY,1091000.0,81.4
WHEAT,YEAR,2020,16,IDAHO,031,CASSIA,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,4393000.0,114.7
WHEAT,YEAR,2020,16,IDAHO,039,ELMORE,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,1619000.0,117.3
WHEAT,YEAR,2020,16,IDAHO,041,FRANKLIN,90,EAST,TOTAL,SURVEY,COUNTY,866000.0,65.6
WHEAT,YEAR,2020,16,IDAHO,049,IDAHO,10,NORTH,TOTAL,SURVEY,COUNTY,6110000.0,100.5
WHEAT,YEAR,2020,16,IDAHO,053,JEROME,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,1055000.0,148.6
WHEAT,YEAR,2020,16,IDAHO,055,KOOTENAI,10,NORTH,TOTAL,SURVEY,COUNTY,522000.0,90.0
WHEAT,YEAR,2020,16,IDAHO,057,LATAH,10,NORTH,TOTAL,SURVEY,COUNTY,7035000.0,100.5
WHEAT,YEAR,2020,16,IDAHO,061,LEWIS,10,NORTH,TOTAL,SURVEY,COUNTY,5748000.0,95.8
WHEAT,YEAR,2020,16,IDAHO,067,MINIDOKA,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,1448000.0,132.8
WHEAT,YEAR,2020,16,IDAHO,069,NEZ PERCE,10,NORTH,TOTAL,SURVEY,COUNTY,7352000.0,96.1
WHEAT,YEAR,2020,16,IDAHO,071,ONEIDA,90,EAST,TOTAL,SURVEY,COUNTY,829000.0,37.7
WHEAT,YEAR,2020,16,IDAHO,073,OWYHEE,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,1136000.0,130.1
WHEAT,YEAR,2020,16,IDAHO,075,PAYETTE,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,330000.0,127.4
WHEAT,YEAR,2020,16,IDAHO,077,POWER,90,EAST,TOTAL,SURVEY,COUNTY,5491000.0,87.3
WHEAT,YEAR,2020,16,IDAHO,083,TWIN FALLS,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,2830000.0,153.8
WHEAT,YEAR,2020,16,IDAHO,087,WASHINGTON,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,273000.0,91.0
WHEAT,YEAR,2020,17,ILLINOIS,001,ADAMS,30,WEST,TOTAL,SURVEY,COUNTY,279000.0,66.9
WHEAT,YEAR,2020,17,ILLINOIS,003,ALEXANDER,80,SOUTHWEST,TOTAL,SURVEY,COUNTY,55000.0,66.3
WHEAT,YEAR,2020,17,ILLINOIS,005,BOND,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,811000.0,62.9
WHEAT,YEAR,2020,17,ILLINOIS,007,BOONE,20,NORTHEAST,TOTAL,SURVEY,COUNTY,70000.0,73.7
WHEAT,YEAR,2020,17,ILLINOIS,009,BROWN,30,WEST,TOTAL,SURVEY,COUNTY,67700.0,62.1
WHEAT,YEAR,2020,17,ILLINOIS,011,BUREAU,10,NORTHWEST,TOTAL,SURVEY,COUNTY,160000.0,78.8
WHEAT,YEAR,2020,17,ILLINOIS,013,CALHOUN,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,94300.0,63.7
WHEAT,YEAR,2020,17,ILLINOIS,015,CARROLL,10,NORTHWEST,TOTAL,SURVEY,COUNTY,81100.0,73.1
WHEAT,YEAR,2020,17,ILLINOIS,017,CASS,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,45400.0,65.8
WHEAT,YEAR,2020,17,ILLINOIS,019,CHAMPAIGN,50,EAST,TOTAL,SURVEY,COUNTY,233000.0,69.8
WHEAT,YEAR,2020,17,ILLINOIS,021,CHRISTIAN,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,89100.0,68.5
WHEAT,YEAR,2020,17,ILLINOIS,023,CLARK,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,270000.0,72.8
WHEAT,YEAR,2020,17,ILLINOIS,025,CLAY,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,781000.0,67.9
WHEAT,YEAR,2020,17,ILLINOIS,027,CLINTON,80,SOUTHWEST,TOTAL,SURVEY,COUNTY,1926000.0,66.4
WHEAT,YEAR,2020,17,ILLINOIS,033,CRAWFORD,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,278000.0,63.8
WHEAT,YEAR,2020,17,ILLINOIS,037,DE KALB,20,NORTHEAST,TOTAL,SURVEY,COUNTY,312000.0,75.2
WHEAT,YEAR,2020,17,ILLINOIS,047,EDWARDS,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,360000.0,64.9
WHEAT,YEAR,2020,17,ILLINOIS,049,EFFINGHAM,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,438000.0,68.5
WHEAT,YEAR,2020,17,ILLINOIS,051,FAYETTE,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,678000.0,62.8
WHEAT,YEAR,2020,17,ILLINOIS,053,FORD,50,EAST,TOTAL,SURVEY,COUNTY,138000.0,71.9
WHEAT,YEAR,2020,17,ILLINOIS,057,FULTON,30,WEST,TOTAL,SURVEY,COUNTY,34100.0,64.3
WHEAT,YEAR,2020,17,ILLINOIS,059,GALLATIN,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,308000.0,81.5
WHEAT,YEAR,2020,17,ILLINOIS,061,GREENE,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,173000.0,74.9
WHEAT,YEAR,2020,17,ILLINOIS,065,HAMILTON,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,840000.0,60.0
WHEAT,YEAR,2020,17,ILLINOIS,067,HANCOCK,30,WEST,TOTAL,SURVEY,COUNTY,114000.0,75.0
WHEAT,YEAR,2020,17,ILLINOIS,073,HENRY,10,NORTHWEST,TOTAL,SURVEY,COUNTY,49900.0,76.8
WHEAT,YEAR,2020,17,ILLINOIS,075,IROQUOIS,50,EAST,TOTAL,SURVEY,COUNTY,286000.0,67.1
WHEAT,YEAR,2020,17,ILLINOIS,077,JACKSON,80,SOUTHWEST,TOTAL,SURVEY,COUNTY,1312000.0,66.6
WHEAT,YEAR,2020,17,ILLINOIS,079,JASPER,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,364000.0,63.3
WHEAT,YEAR,2020,17,ILLINOIS,081,JEFFERSON,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,1249000.0,63.7
WHEAT,YEAR,2020,17,ILLINOIS,083,JERSEY,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,207000.0,72.1
WHEAT,YEAR,2020,17,ILLINOIS,085,JO DAVIESS,10,NORTHWEST,TOTAL,SURVEY,COUNTY,22800.0,71.3
WHEAT,YEAR,2020,17,ILLINOIS,089,KANE,20,NORTHEAST,TOTAL,SURVEY,COUNTY,124000.0,67.8
WHEAT,YEAR,2020,17,ILLINOIS,095,KNOX,30,WEST,TOTAL,SURVEY,COUNTY,23900.0,70.3
WHEAT,YEAR,2020,17,ILLINOIS,099,LA SALLE,20,NORTHEAST,TOTAL,SURVEY,COUNTY,158000.0,82.7
WHEAT,YEAR,2020,17,ILLINOIS,101,LAWRENCE,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,316000.0,65.7
WHEAT,YEAR,2020,17,ILLINOIS,105,LIVINGSTON,50,EAST,TOTAL,SURVEY,COUNTY,278000.0,66.8
WHEAT,YEAR,2020,17,ILLINOIS,107,LOGAN,40,CENTRAL,TOTAL,SURVEY,COUNTY,113000.0,86.9
WHEAT,YEAR,2020,17,ILLINOIS,111,MCHENRY,20,NORTHEAST,TOTAL,SURVEY,COUNTY,164000.0,70.7
WHEAT,YEAR,2020,17,ILLINOIS,115,MACON,40,CENTRAL,TOTAL,SURVEY,COUNTY,98400.0,70.8
WHEAT,YEAR,2020,17,ILLINOIS,117,MACOUPIN,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,382000.0,64.6
WHEAT,YEAR,2020,17,ILLINOIS,119,MADISON,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,820000.0,67.2
WHEAT,YEAR,2020,17,ILLINOIS,121,MARION,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,988000.0,60.6
WHEAT,YEAR,2020,17,ILLINOIS,125,MASON,40,CENTRAL,TOTAL,SURVEY,COUNTY,108000.0,68.8
WHEAT,YEAR,2020,17,ILLINOIS,129,MENARD,40,CENTRAL,TOTAL,SURVEY,COUNTY,91900.0,84.3
WHEAT,YEAR,2020,17,ILLINOIS,131,MERCER,10,NORTHWEST,TOTAL,SURVEY,COUNTY,12400.0,68.9
WHEAT,YEAR,2020,17,ILLINOIS,133,MONROE,80,SOUTHWEST,TOTAL,SURVEY,COUNTY,1673000.0,66.9
WHEAT,YEAR,2020,17,ILLINOIS,135,MONTGOMERY,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,480000.0,72.3
WHEAT,YEAR,2020,17,ILLINOIS,137,MORGAN,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,108000.0,77.7
WHEAT,YEAR,2020,17,ILLINOIS,141,OGLE,10,NORTHWEST,TOTAL,SURVEY,COUNTY,143000.0,77.3
WHEAT,YEAR,2020,17,ILLINOIS,143,PEORIA,40,CENTRAL,TOTAL,SURVEY,COUNTY,40300.0,63.0
WHEAT,YEAR,2020,17,ILLINOIS,145,PERRY,80,SOUTHWEST,TOTAL,SURVEY,COUNTY,1966000.0,70.2
WHEAT,YEAR,2020,17,ILLINOIS,149,PIKE,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,159000.0,66.5
WHEAT,YEAR,2020,17,ILLINOIS,153,PULASKI,80,SOUTHWEST,TOTAL,SURVEY,COUNTY,231000.0,77.0
WHEAT,YEAR,2020,17,ILLINOIS,157,RANDOLPH,80,SOUTHWEST,TOTAL,SURVEY,COUNTY,2501000.0,78.6
WHEAT,YEAR,2020,17,ILLINOIS,159,RICHLAND,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,631000.0,71.5
WHEAT,YEAR,2020,17,ILLINOIS,161,ROCK ISLAND,10,NORTHWEST,TOTAL,SURVEY,COUNTY,26600.0,71.9
WHEAT,YEAR,2020,17,ILLINOIS,163,ST CLAIR,80,SOUTHWEST,TOTAL,SURVEY,COUNTY,1437000.0,77.7
WHEAT,YEAR,2020,17,ILLINOIS,167,SANGAMON,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,76500.0,72.2
WHEAT,YEAR,2020,17,ILLINOIS,169,SCHUYLER,30,WEST,TOTAL,SURVEY,COUNTY,50200.0,64.4
WHEAT,YEAR,2020,17,ILLINOIS,171,SCOTT,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,9600.0,64.0
WHEAT,YEAR,2020,17,ILLINOIS,173,SHELBY,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,320000.0,56.6
WHEAT,YEAR,2020,17,ILLINOIS,177,STEPHENSON,10,NORTHWEST,TOTAL,SURVEY,COUNTY,145000.0,78.4
WHEAT,YEAR,2020,17,ILLINOIS,179,TAZEWELL,40,CENTRAL,TOTAL,SURVEY,COUNTY,131000.0,76.6
WHEAT,YEAR,2020,17,ILLINOIS,181,UNION,80,SOUTHWEST,TOTAL,SURVEY,COUNTY,125000.0,66.8
WHEAT,YEAR,2020,17,ILLINOIS,183,VERMILION,50,EAST,TOTAL,SURVEY,COUNTY,184000.0,70.0
WHEAT,YEAR,2020,17,ILLINOIS,185,WABASH,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,281000.0,70.8
WHEAT,YEAR,2020,17,ILLINOIS,189,WASHINGTON,80,SOUTHWEST,TOTAL,SURVEY,COUNTY,3871000.0,67.2
WHEAT,YEAR,2020,17,ILLINOIS,191,WAYNE,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,831000.0,58.1
WHEAT,YEAR,2020,17,ILLINOIS,193,WHITE,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,437000.0,64.8
WHEAT,YEAR,2020,17,ILLINOIS,197,WILL,20,NORTHEAST,TOTAL,SURVEY,COUNTY,218000.0,69.2
WHEAT,YEAR,2020,17,ILLINOIS,201,WINNEBAGO,10,NORTHWEST,TOTAL,SURVEY,COUNTY,185000.0,75.5
WHEAT,YEAR,2020,18,INDIANA,001,ADAMS,30,NORTHEAST,TOTAL,SURVEY,COUNTY,382000.0,70.7
WHEAT,YEAR,2020,18,INDIANA,003,ALLEN,30,NORTHEAST,TOTAL,SURVEY,COUNTY,692000.0,80.5
WHEAT,YEAR,2020,18,INDIANA,005,BARTHOLOMEW,50,CENTRAL,TOTAL,SURVEY,COUNTY,482000.0,71.9
WHEAT,YEAR,2020,18,INDIANA,007,BENTON,10,NORTHWEST,TOTAL,SURVEY,COUNTY,157000.0,87.2
WHEAT,YEAR,2020,18,INDIANA,009,BLACKFORD,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,109000.0,77.9
WHEAT,YEAR,2020,18,INDIANA,017,CASS,20,NORTH CENTRAL,TOTAL,SURVEY,COUNTY,167000.0,79.5
WHEAT,YEAR,2020,18,INDIANA,027,DAVIESS,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,29700.0,59.4
WHEAT,YEAR,2020,18,INDIANA,031,DECATUR,50,CENTRAL,TOTAL,SURVEY,COUNTY,375000.0,78.1
WHEAT,YEAR,2020,18,INDIANA,033,DE KALB,30,NORTHEAST,TOTAL,SURVEY,COUNTY,606000.0,66.6
WHEAT,YEAR,2020,18,INDIANA,035,DELAWARE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,106000.0,70.7
WHEAT,YEAR,2020,18,INDIANA,037,DUBOIS,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,300000.0,62.5
WHEAT,YEAR,2020,18,INDIANA,039,ELKHART,20,NORTH CENTRAL,TOTAL,SURVEY,COUNTY,65800.0,73.1
WHEAT,YEAR,2020,18,INDIANA,041,FAYETTE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,139000.0,73.2
WHEAT,YEAR,2020,18,INDIANA,047,FRANKLIN,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,168000.0,60.0
WHEAT,YEAR,2020,18,INDIANA,049,FULTON,20,NORTH CENTRAL,TOTAL,SURVEY,COUNTY,87800.0,67.5
WHEAT,YEAR,2020,18,INDIANA,051,GIBSON,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,965000.0,73.1
WHEAT,YEAR,2020,18,INDIANA,053,GRANT,50,CENTRAL,TOTAL,SURVEY,COUNTY,140000.0,73.7
WHEAT,YEAR,2020,18,INDIANA,057,HAMILTON,50,CENTRAL,TOTAL,SURVEY,COUNTY,107000.0,66.9
WHEAT,YEAR,2020,18,INDIANA,059,HANCOCK,50,CENTRAL,TOTAL,SURVEY,COUNTY,275000.0,72.4
WHEAT,YEAR,2020,18,INDIANA,061,HARRISON,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,45100.0,37.6
WHEAT,YEAR,2020,18,INDIANA,069,HUNTINGTON,30,NORTHEAST,TOTAL,SURVEY,COUNTY,392000.0,87.1
WHEAT,YEAR,2020,18,INDIANA,071,JACKSON,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,315000.0,68.5
WHEAT,YEAR,2020,18,INDIANA,075,JAY,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,567000.0,78.8
WHEAT,YEAR,2020,18,INDIANA,079,JENNINGS,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,238000.0,47.6
WHEAT,YEAR,2020,18,INDIANA,081,JOHNSON,50,CENTRAL,TOTAL,SURVEY,COUNTY,275000.0,83.3
WHEAT,YEAR,2020,18,INDIANA,083,KNOX,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,661000.0,68.1
WHEAT,YEAR,2020,18,INDIANA,085,KOSCIUSKO,20,NORTH CENTRAL,TOTAL,SURVEY,COUNTY,224000.0,74.7
WHEAT,YEAR,2020,18,INDIANA,087,LAGRANGE,30,NORTHEAST,TOTAL,SURVEY,COUNTY,71400.0,71.4
WHEAT,YEAR,2020,18,INDIANA,091,LA PORTE,10,NORTHWEST,TOTAL,SURVEY,COUNTY,355000.0,75.5
WHEAT,YEAR,2020,18,INDIANA,095,MADISON,50,CENTRAL,TOTAL,SURVEY,COUNTY,97500.0,75.0
WHEAT,YEAR,2020,18,INDIANA,099,MARSHALL,20,NORTH CENTRAL,TOTAL,SURVEY,COUNTY,127000.0,70.6
WHEAT,YEAR,2020,18,INDIANA,103,MIAMI,20,NORTH CENTRAL,TOTAL,SURVEY,COUNTY,271000.0,82.1
WHEAT,YEAR,2020,18,INDIANA,107,MONTGOMERY,40,WEST CENTRAL,TOTAL,SURVEY,COUNTY,133000.0,73.9
WHEAT,YEAR,2020,18,INDIANA,109,MORGAN,50,CENTRAL,TOTAL,SURVEY,COUNTY,49900.0,62.4
WHEAT,YEAR,2020,18,INDIANA,113,NOBLE,30,NORTHEAST,TOTAL,SURVEY,COUNTY,259000.0,74.0
WHEAT,YEAR,2020,18,INDIANA,115,OHIO,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,23500.0,47.0
WHEAT,YEAR,2020,18,INDIANA,121,PARKE,40,WEST CENTRAL,TOTAL,SURVEY,COUNTY,134000.0,60.9
WHEAT,YEAR,2020,18,INDIANA,123,PERRY,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,20800.0,52.0
