commodity_desc,reference_period_desc,year,state_ansi,state_name,county_ansi,county_name,asd_code,asd_desc,domain_desc,source_desc,agg_level_desc,"PRODUCTION, MEASURED IN 480 LB BALES","YIELD, MEASURED IN LB / ACRE"
COTTON,YEAR,2019,01,ALABAMA,001,AUTAUGA,40,BLACK BELT,TOTAL,SURVEY,COUNTY,12000.0,800.0
COTTON,YEAR,2019,01,ALABAMA,003,BALDWIN,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,33000.0,949.0
COTTON,YEAR,2019,01,ALABAMA,005,BARBOUR,60,WIREGRASS,TOTAL,SURVEY,COUNTY,12700.0,824.0
COTTON,YEAR,2019,01,ALABAMA,009,BLOUNT,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,5400.0,1206.0
COTTON,YEAR,2019,01,ALABAMA,015,CALHOUN,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,10400.0,1062.0
COTTON,YEAR,2019,01,ALABAMA,019,CHEROKEE,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,57500.0,1011.0
COTTON,YEAR,2019,01,ALABAMA,031,COFFEE,60,WIREGRASS,TOTAL,SURVEY,COUNTY,28000.0,672.0
COTTON,YEAR,2019,01,ALABAMA,033,COLBERT,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,28000.0,1111.0
COTTON,YEAR,2019,01,ALABAMA,035,CONECUH,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,10400.0,818.0
COTTON,YEAR,2019,01,ALABAMA,039,COVINGTON,60,WIREGRASS,TOTAL,SURVEY,COUNTY,34500.0,968.0
COTTON,YEAR,2019,01,ALABAMA,045,DALE,60,WIREGRASS,TOTAL,SURVEY,COUNTY,21000.0,725.0
COTTON,YEAR,2019,01,ALABAMA,047,DALLAS,40,BLACK BELT,TOTAL,SURVEY,COUNTY,28600.0,827.0
COTTON,YEAR,2019,01,ALABAMA,049,DE KALB,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,8300.0,1009.0
COTTON,YEAR,2019,01,ALABAMA,051,ELMORE,40,BLACK BELT,TOTAL,SURVEY,COUNTY,18900.0,709.0
COTTON,YEAR,2019,01,ALABAMA,053,ESCAMBIA,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,51700.0,936.0
COTTON,YEAR,2019,01,ALABAMA,055,ETOWAH,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,9600.0,960.0
COTTON,YEAR,2019,01,ALABAMA,061,GENEVA,60,WIREGRASS,TOTAL,SURVEY,COUNTY,46000.0,724.0
COTTON,YEAR,2019,01,ALABAMA,067,HENRY,60,WIREGRASS,TOTAL,SURVEY,COUNTY,37500.0,818.0
COTTON,YEAR,2019,01,ALABAMA,069,HOUSTON,60,WIREGRASS,TOTAL,SURVEY,COUNTY,55500.0,810.0
COTTON,YEAR,2019,01,ALABAMA,077,LAUDERDALE,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,56700.0,1272.0
COTTON,YEAR,2019,01,ALABAMA,079,LAWRENCE,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,59100.0,1233.0
COTTON,YEAR,2019,01,ALABAMA,083,LIMESTONE,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,88000.0,1148.0
COTTON,YEAR,2019,01,ALABAMA,087,MACON,40,BLACK BELT,TOTAL,SURVEY,COUNTY,9000.0,720.0
COTTON,YEAR,2019,01,ALABAMA,089,MADISON,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,80800.0,1151.0
COTTON,YEAR,2019,01,ALABAMA,097,MOBILE,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,16800.0,966.0
COTTON,YEAR,2019,01,ALABAMA,099,MONROE,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,36000.0,835.0
COTTON,YEAR,2019,01,ALABAMA,103,MORGAN,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,6400.0,991.0
COTTON,YEAR,2019,01,ALABAMA,117,SHELBY,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,6500.0,612.0
COTTON,YEAR,2019,01,ALABAMA,121,TALLADEGA,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,21000.0,960.0
COTTON,YEAR,2019,01,ALABAMA,125,TUSCALOOSA,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,3800.0,869.0
COTTON,YEAR,2019,04,ARIZONA,009,GRAHAM,80,SOUTHERN,TOTAL,SURVEY,COUNTY,28000.0,1003.0
COTTON,YEAR,2019,04,ARIZONA,012,LAPAZ,80,SOUTHERN,TOTAL,SURVEY,COUNTY,38600.0,1278.0
COTTON,YEAR,2019,04,ARIZONA,013,MARICOPA,80,SOUTHERN,TOTAL,SURVEY,COUNTY,45000.0,1440.0
COTTON,YEAR,2019,04,ARIZONA,021,PINAL,80,SOUTHERN,TOTAL,SURVEY,COUNTY,194500.0,1105.0
COTTON,YEAR,2019,04,ARIZONA,027,YUMA,80,SOUTHERN,TOTAL,SURVEY,COUNTY,34700.0,1271.0
COTTON,YEAR,2019,05,ARKANSAS,003,ASHLEY,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,60300.0,1096.0
COTTON,YEAR,2019,05,ARKANSAS,017,CHICOT,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,57400.0,1102.0
COTTON,YEAR,2019,05,ARKANSAS,021,CLAY,30,NORTHEAST,TOTAL,SURVEY,COUNTY,88000.0,1164.0
COTTON,YEAR,2019,05,ARKANSAS,031,CRAIGHEAD,30,NORTHEAST,TOTAL,SURVEY,COUNTY,237000.0,1354.0
COTTON,YEAR,2019,05,ARKANSAS,035,CRITTENDEN,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,65000.0,1099.0
COTTON,YEAR,2019,05,ARKANSAS,041,DESHA,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,72300.0,1209.0
COTTON,YEAR,2019,05,ARKANSAS,043,DREW,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,31600.0,1285.0
COTTON,YEAR,2019,05,ARKANSAS,069,JEFFERSON,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,26000.0,1236.0
COTTON,YEAR,2019,05,ARKANSAS,077,LEE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,139500.0,1110.0
COTTON,YEAR,2019,05,ARKANSAS,079,LINCOLN,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,63400.0,1217.0
COTTON,YEAR,2019,05,ARKANSAS,093,MISSISSIPPI,30,NORTHEAST,TOTAL,SURVEY,COUNTY,283000.0,1202.0
COTTON,YEAR,2019,05,ARKANSAS,095,MONROE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,38000.0,1184.0
COTTON,YEAR,2019,05,ARKANSAS,107,PHILLIPS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,92000.0,1064.0
COTTON,YEAR,2019,05,ARKANSAS,111,POINSETT,30,NORTHEAST,TOTAL,SURVEY,COUNTY,64400.0,1171.0
COTTON,YEAR,2019,05,ARKANSAS,123,SAINT FRANCIS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,80000.0,1193.0
COTTON,YEAR,2019,06,CALIFORNIA,031,KINGS,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,35400.0,1808.0
COTTON,YEAR,2019,06,CALIFORNIA,047,MERCED,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,35200.0,1444.0
COTTON,YEAR,2019,06,CALIFORNIA,107,TULARE,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,37400.0,1632.0
COTTON,YEAR,2019,13,GEORGIA,001,APPLING,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,48300.0,805.0
