commodity_desc,reference_period_desc,year,state_ansi,state_name,county_ansi,county_name,asd_code,asd_desc,domain_desc,source_desc,agg_level_desc,"PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE"
WHEAT,YEAR,2022,05,ARKANSAS,021,CLAY,30,NORTHEAST,TOTAL,SURVEY,COUNTY,120000.0,46.2
WHEAT,YEAR,2022,05,ARKANSAS,033,CRAWFORD,40,WEST CENTRAL,TOTAL,SURVEY,COUNTY,56400.0,44.8
WHEAT,YEAR,2022,05,ARKANSAS,035,CRITTENDEN,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,653000.0,59.4
WHEAT,YEAR,2022,05,ARKANSAS,037,CROSS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,378000.0,58.0
WHEAT,YEAR,2022,05,ARKANSAS,041,DESHA,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,249000.0,47.0
WHEAT,YEAR,2022,05,ARKANSAS,055,GREENE,30,NORTHEAST,TOTAL,SURVEY,COUNTY,145000.0,41.1
WHEAT,YEAR,2022,05,ARKANSAS,067,JACKSON,30,NORTHEAST,TOTAL,SURVEY,COUNTY,469000.0,55.3
WHEAT,YEAR,2022,05,ARKANSAS,069,JEFFERSON,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,634000.0,54.7
WHEAT,YEAR,2022,05,ARKANSAS,075,LAWRENCE,30,NORTHEAST,TOTAL,SURVEY,COUNTY,14000.0,41.2
WHEAT,YEAR,2022,05,ARKANSAS,077,LEE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,401000.0,51.7
WHEAT,YEAR,2022,05,ARKANSAS,079,LINCOLN,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,179000.0,56.5
WHEAT,YEAR,2022,05,ARKANSAS,095,MONROE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,285000.0,53.7
WHEAT,YEAR,2022,05,ARKANSAS,107,PHILLIPS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,767000.0,52.9
WHEAT,YEAR,2022,05,ARKANSAS,111,POINSETT,30,NORTHEAST,TOTAL,SURVEY,COUNTY,349000.0,59.3
WHEAT,YEAR,2022,05,ARKANSAS,117,PRAIRIE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,53800.0,49.4
WHEAT,YEAR,2022,05,ARKANSAS,123,SAINT FRANCIS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,319000.0,61.2
WHEAT,YEAR,2022,05,ARKANSAS,145,WHITE,30,NORTHEAST,TOTAL,SURVEY,COUNTY,83800.0,47.1
WHEAT,YEAR,2022,06,CALIFORNIA,077,SAN JOAQUIN,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,332000.0,67.8
WHEAT,YEAR,2022,06,CALIFORNIA,101,SUTTER,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,332000.0,97.6
WHEAT,YEAR,2022,06,CALIFORNIA,113,YOLO,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,880000.0,89.8
WHEAT,YEAR,2022,08,COLORADO,001,ADAMS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,1566000.0,19.8
WHEAT,YEAR,2022,08,COLORADO,005,ARAPAHOE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,203000.0,10.3
WHEAT,YEAR,2022,08,COLORADO,033,DOLORES,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,114000.0,8.7
WHEAT,YEAR,2022,08,COLORADO,039,ELBERT,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,552000.0,24.0
WHEAT,YEAR,2022,08,COLORADO,061,KIOWA,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,3262000.0,22.9
WHEAT,YEAR,2022,08,COLORADO,063,KIT CARSON,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,5684000.0,31.7
WHEAT,YEAR,2022,08,COLORADO,069,LARIMER,20,NORTHEAST,TOTAL,SURVEY,COUNTY,93600.0,28.4
WHEAT,YEAR,2022,08,COLORADO,073,LINCOLN,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,1877000.0,23.2
WHEAT,YEAR,2022,08,COLORADO,075,LOGAN,20,NORTHEAST,TOTAL,SURVEY,COUNTY,1930000.0,24.0
WHEAT,YEAR,2022,08,COLORADO,087,MORGAN,20,NORTHEAST,TOTAL,SURVEY,COUNTY,729000.0,27.9
WHEAT,YEAR,2022,08,COLORADO,095,PHILLIPS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,1715000.0,21.3
WHEAT,YEAR,2022,08,COLORADO,099,PROWERS,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,1219000.0,18.3
WHEAT,YEAR,2022,08,COLORADO,121,WASHINGTON,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,3549000.0,18.4
WHEAT,YEAR,2022,08,COLORADO,125,YUMA,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,3468000.0,36.5
WHEAT,YEAR,2022,16,IDAHO,001,ADA,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,474000.0,114.8
WHEAT,YEAR,2022,16,IDAHO,005,BANNOCK,90,EAST,TOTAL,SURVEY,COUNTY,1051000.0,81.5
WHEAT,YEAR,2022,16,IDAHO,011,BINGHAM,90,EAST,TOTAL,SURVEY,COUNTY,9345000.0,118.3
WHEAT,YEAR,2022,16,IDAHO,019,BONNEVILLE,90,EAST,TOTAL,SURVEY,COUNTY,993000.0,72.5
WHEAT,YEAR,2022,16,IDAHO,021,BOUNDARY,10,NORTH,TOTAL,SURVEY,COUNTY,905000.0,104.0
WHEAT,YEAR,2022,16,IDAHO,027,CANYON,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,3368000.0,136.9
WHEAT,YEAR,2022,16,IDAHO,029,CARIBOU,90,EAST,TOTAL,SURVEY,COUNTY,1237000.0,59.2
WHEAT,YEAR,2022,16,IDAHO,031,CASSIA,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,3445000.0,90.2
WHEAT,YEAR,2022,16,IDAHO,041,FRANKLIN,90,EAST,TOTAL,SURVEY,COUNTY,697000.0,69.7
WHEAT,YEAR,2022,16,IDAHO,045,GEM,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,206000.0,128.8
WHEAT,YEAR,2022,16,IDAHO,047,GOODING,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,211000.0,150.7
WHEAT,YEAR,2022,16,IDAHO,049,IDAHO,10,NORTH,TOTAL,SURVEY,COUNTY,4771000.0,77.2
WHEAT,YEAR,2022,16,IDAHO,053,JEROME,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,668000.0,133.1
WHEAT,YEAR,2022,16,IDAHO,055,KOOTENAI,10,NORTH,TOTAL,SURVEY,COUNTY,651000.0,67.8
WHEAT,YEAR,2022,16,IDAHO,057,LATAH,10,NORTH,TOTAL,SURVEY,COUNTY,7177000.0,89.6
WHEAT,YEAR,2022,16,IDAHO,061,LEWIS,10,NORTH,TOTAL,SURVEY,COUNTY,4414000.0,67.8
WHEAT,YEAR,2022,16,IDAHO,063,LINCOLN,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,503000.0,132.0
WHEAT,YEAR,2022,16,IDAHO,065,MADISON,90,EAST,TOTAL,SURVEY,COUNTY,270000.0,120.0
